file,kind,old_id,new_id
assets/json/lessons/safety.json,flashcard,flashcard_lesson_safety_2.50_e7d920d9,flashcard_lesson_safety_17.00_e7d920d9
assets/json/lessons/safety.json,lesson,lesson_safety_2.60,lesson_safety_18.00
assets/json/lessons/safety.json,flashcard,flashcard_lesson_safety_2.60_e1931390,flashcard_lesson_safety_18.00_e1931390
assets/json/parts/hull.json,part,part_hull_1.10,part_hull_03.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.10_ea6cd5c0,flashcard_part_hull_03.00_ea6cd5c0
assets/json/parts/hull.json,part,part_hull_1.20,part_hull_04.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.20_d2abc594,flashcard_part_hull_04.00_d2abc594
assets/json/parts/hull.json,part,part_hull_1.30,part_hull_05.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.30_b72bf7ac,flashcard_part_hull_05.00_b72bf7ac
assets/json/parts/hull.json,part,part_hull_1.40,part_hull_06.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.40_20bd6816,flashcard_part_hull_06.00_20bd6816
assets/json/parts/hull.json,part,part_hull_1.50,part_hull_07.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.50_de2d34e7,flashcard_part_hull_07.00_de2d34e7
assets/json/parts/hull.json,part,part_hull_1.60,part_hull_08.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.60_6fc39b63,flashcard_part_hull_08.00_6fc39b63
assets/json/parts/hull.json,part,part_hull_1.70,part_hull_09.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.70_637b9713,flashcard_part_hull_09.00_637b9713
assets/json/parts/hull.json,part,part_hull_1.80,part_hull_10.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.80_1b9be326,flashcard_part_hull_10.00_1b9be326
assets/json/parts/hull.json,part,part_hull_1.90,part_hull_11.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_1.90_0bfb47f9,flashcard_part_hull_11.00_0bfb47f9
assets/json/parts/hull.json,part,part_hull_2.10,part_hull_12.00
